n,flops,time(s),dgemm
497,368537428,2.00E+00,1.84E+08
498,370765980,2.00E+00,1.85E+08
499,373003498,2.00E+00,1.87E+08
500,375250000,2.07E+00,1.81E+08
501,377505504,2.05E+00,1.84E+08
502,379770028,2.05E+00,1.85E+08
503,382043590,2.08E+00,1.83E+08
504,384326208,2.08E+00,1.85E+08
505,386617900,2.12E+00,1.82E+08
506,388918684,2.14E+00,1.82E+08
507,391228578,2.11E+00,1.85E+08
508,393547600,2.16E+00,1.82E+08
509,395875768,2.21E+00,1.79E+08
510,398213100,2.50E+00,1.60E+08
511,400559614,2.47E+00,1.62E+08
512,402915328,2.24E+00,1.80E+08
